MAIN_ID,ANG_DIST,OTYPE,hour,min,sec,ra,deg,arcmin,arcsec,dec,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST,
TYC 2884-388-1,397.78,Star,4,38,38.2085,69.65920208,41,2,54.785,41.04855139,14,14,0.0481,0.0379,90,A,O,2018yCat.1345....0G,69.65920211,41.04855151,-5.58,-10.011,3,3,0.106,0.061,90,A,2018yCat.1345....0G,B,11.95,0.24,Vega,2000A&A...355L..27H,,,D,B,V,10.89,0.11,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.244,0.023,Vega,2003yCat.2246....0C,,,C,J,H,7.662,0.02,Vega,2003yCat.2246....0C,,,C,H,K,7.483,0.027,Vega,2003yCat.2246....0C,,,C,K,v,28.02,0.45,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
HD 276620,407.88,Star,4,39,9.7034,69.79043083,41,13,14.055,41.22057083,14,14,0.0425,0.0328,90,A,O,2018yCat.1345....0G,69.79043122,41.22057086,7.948,-33.225,3,3,0.082,0.052,90,A,2018yCat.1345....0G,B,10.22,0.05,Vega,2000A&A...355L..27H,,,D,B,V,9.64,0.04,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.508,0.021,Vega,2003yCat.2246....0C,,,C,J,H,8.276,0.023,Vega,2003yCat.2246....0C,,,C,H,K,8.214,9.998,Vega,2003yCat.2246....0C,,,E,K,,,,,,,F5,E,1995A&AS..110..367N,,,,,,,,,,1,
HD  29332,436.2,Em*,4,39,4.8886,69.77036917,41,15,0,41.25,14,14,0.0523,0.0436,90,A,O,2018yCat.1345....0G,69.77036956,41.25000024,-1.197,-3.337,3,3,0.063,0.05,90,A,2016A&A...595A...2G,B,8.9,0.02,Vega,2000A&A...355L..27H,,,D,B,V,8.71,0.02,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.265,0.034,Vega,2003yCat.2246....0C,,,C,J,H,8.246,0.026,Vega,2003yCat.2246....0C,,,C,H,K,8.266,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,B3ne,D,1942ApJ....96...15M,,,,,,,,,,18,
NVSS J043924+410732,520.87,Radio,4,39,24.2,69.85083333,41,7,32,41.12555556,5,5,9000,9000,90,D,R,1998AJ....115.1693C,69.851,41.1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276631,537.99,Star,4,39,22.4444,69.84351833,41,5,42.975,41.09527083,14,14,0.1761,0.1522,90,A,O,2018yCat.1345....0G,69.8435185,41.09527088,-0.929,-2.952,3,3,0.307,0.239,90,A,2018yCat.1345....0G,B,11.19,0.09,Vega,2000A&A...355L..27H,,,D,B,V,10.69,0.09,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.081,0.022,Vega,2003yCat.2246....0C,,,C,J,H,9.988,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.939,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A2,E,1995A&AS..110..367N,,,,,,,,,,1,
2MASS J04392733+4107063,561.14,RGB*,4,39,27.3342,69.8638925,41,7,6.286,41.11841278,14,14,0.0453,0.0347,90,A,O,2018yCat.1345....0G,69.86389289,41.1184128,0.129,1.65,3,3,0.091,0.056,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,9.735,0.021,Vega,2003yCat.2246....0C,,,C,J,H,9.166,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.023,0.019,Vega,2003yCat.2246....0C,,,C,K,v,11.81,0.29,A,O,2018yCat.1345....0G,,,,,,,,,,,,,3,
HD 276628,581.94,Star,4,37,55.4724,69.481135,41,4,28.158,41.07448833,14,14,0.0495,0.0363,90,A,O,2018yCat.1345....0G,69.48113517,41.07448839,9.113,-2.576,3,3,0.104,0.053,90,A,2018yCat.1345....0G,B,11.27,0.12,Vega,2000A&A...355L..27H,,,D,B,V,10.17,0.07,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.649,0.024,Vega,2003yCat.2246....0C,,,C,J,H,8.243,0.02,Vega,2003yCat.2246....0C,,,C,H,K,8.149,0.019,Vega,2003yCat.2246....0C,,,C,K,v,22.94,0.55,A,O,2018yCat.1345....0G,G,E,1995A&AS..110..367N,,,,,,,,,,2,
HD 276633,594.09,Star,4,38,24.2676,69.601115,41,0,3.337,41.00092694,14,14,0.0494,0.0427,90,A,O,2018yCat.1345....0G,69.60111504,41.00092705,-1.293,-1.934,3,3,0.109,0.067,90,A,2018yCat.1345....0G,B,11.53,0.11,Vega,2000A&A...355L..27H,,,D,B,V,11.46,0.17,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.43,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.389,0.015,Vega,2003yCat.2246....0C,,,C,H,K,10.329,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A2,E,1995A&AS..110..367N,,,,,,,,,,3,
HD 276632,695.48,Star,4,39,25.2192,69.85508,41,1,48.562,41.03015611,14,14,0.0557,0.0491,90,A,O,2018yCat.1345....0G,69.85508024,41.03015626,-7.153,-18.53,3,3,0.115,0.08,90,A,2018yCat.1345....0G,B,11.13,0.1,Vega,2000A&A...355L..27H,,,D,B,V,9.89,0.05,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,7.566,0.02,Vega,2003yCat.2246....0C,,,C,J,H,6.938,0.018,Vega,2003yCat.2246....0C,,,C,H,K,6.783,0.02,Vega,2003yCat.2246....0C,,,C,K,v,-213.35,0.56,A,O,2018yCat.1345....0G,K5,E,1995A&AS..110..367N,,,,,,,,,,2,
TYC 2884-1210-1,696.29,Star,4,39,39.6092,69.91503833,41,12,1.891,41.20052528,14,14,0.0417,0.0314,90,A,O,2018yCat.1345....0G,69.91503874,41.20052554,1.728,-6.004,3,3,0.086,0.049,90,A,2018yCat.1345....0G,B,12.19,0.24,Vega,2000A&A...355L..27H,,,D,B,V,11.81,0.26,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,11.105,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.017,0.019,Vega,2003yCat.2246....0C,,,C,H,K,10.977,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,0,
HD 276621,712.47,Star,4,37,43.9818,69.4332575,41,15,14.187,41.25394083,14,14,0.0634,0.0466,90,A,O,2018yCat.1345....0G,69.43325785,41.25394095,-1.649,-11.572,3,3,0.108,0.078,90,A,2018yCat.1345....0G,B,11.83,0.17,Vega,2000A&A...355L..27H,,,D,B,V,11.37,0.19,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.987,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.867,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.796,0.015,Vega,2003yCat.2246....0C,,,C,K,v,1.6,2.12,C,O,2018yCat.1345....0G,G0,E,1995A&AS..110..367N,,,,,,,,,,2,
HD 276634,716.34,Star,4,37,55.858,69.48274167,41,0,51.669,41.0143525,14,14,0.0521,0.0411,90,A,O,2018yCat.1345....0G,69.48274194,41.01435252,1.376,-1.267,3,3,0.114,0.062,90,A,2018yCat.1345....0G,B,11.01,0.08,Vega,2000A&A...355L..27H,,,D,B,V,10.55,0.08,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.859,0.018,Vega,2003yCat.2246....0C,,,C,J,H,9.77,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.698,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A0,E,1995A&AS..110..367N,,,,,,,,,,2,
2MASS J04390016+4057325,757.21,HB*,4,39,0.1673,69.75069708,40,57,32.583,40.95905083,14,14,0.0385,0.0338,90,A,O,2018yCat.1345....0G,69.75069718,40.95905097,2.389,-0.882,3,3,0.082,0.054,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.548,0.023,Vega,2003yCat.2246....0C,,,C,J,H,11.874,0.021,Vega,2003yCat.2246....0C,,,C,H,K,11.692,0.021,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
LAMOST J043851.24+412207.8,767.23,Star,4,38,51.24,69.7135,41,22,7.82,41.36883889,7,7,,,,D,O,2015MNRAS.449.1401H,69.713501,41.368839,,,,,,,,,,,,,,,,,,,V,15.302,,Vega,2015MNRAS.449.1401H,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3/6,E,2015MNRAS.449.1401H,,,,,,,,,,1,
2MASS J04394498+4105254,781.42,RGB*,4,39,44.9866,69.93744417,41,5,25.412,41.09039222,14,14,0.0484,0.0427,90,A,O,2018yCat.1345....0G,69.93744458,41.09039226,-0.821,-2.899,3,3,0.098,0.07,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,9.918,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.162,0.018,Vega,2003yCat.2246....0C,,,C,H,K,8.957,0.016,Vega,2003yCat.2246....0C,,,C,K,v,6.25,0.65,A,O,2018yCat.1345....0G,,,,,,,,,,,,,3,
2MASS J04381978+4056197,822.95,HB*,4,38,19.7912,69.58246333,40,56,19.768,40.93882444,14,14,0.0287,0.0236,90,A,O,2018yCat.1345....0G,69.58246364,40.9388247,2.678,-1.935,3,3,0.069,0.037,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.118,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.425,0.017,Vega,2003yCat.2246....0C,,,C,H,K,11.236,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
2MASS J04393868+4119264,894.71,RGB*,4,39,38.6941,69.91122542,41,19,26.348,41.32398556,14,14,0.0361,0.0311,90,A,O,2018yCat.1345....0G,69.91122573,41.32398579,-0.727,-0.653,3,3,0.079,0.049,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.485,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.752,0.023,Vega,2003yCat.2246....0C,,,C,H,K,11.594,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,2,
Lan 527,925.87,UV,4,38,25.4689,69.60612042,41,24,44.854,41.41245944,14,14,0.1337,0.1002,90,A,O,2018yCat.1345....0G,69.60612076,41.41245969,2.279,1.19,3,3,0.27,0.154,90,A,2018yCat.1345....0G,B,18.5,,Vega,,,,E,B,,,,,,,,,,,,,,,,,,,J,16.248,0.108,Vega,2003yCat.2246....0C,,,D,J,H,16.104,0.21,Vega,2003yCat.2246....0C,,,D,H,K,15.791,0.321,Vega,2003yCat.2246....0C,,,E,K,,,,,,,,,,,,,,,,,,,1,
HD 276638,935.7,Star,4,38,42.6297,69.67762375,40,53,57.374,40.89927056,14,14,0.049,0.0471,90,A,O,2018yCat.1345....0G,69.6776241,40.89927062,4.797,-7.555,3,3,0.114,0.074,90,A,2018yCat.1345....0G,B,11.09,0.08,Vega,2000A&A...355L..27H,,,D,B,V,10.85,0.1,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.974,0.018,Vega,2003yCat.2246....0C,,,C,J,H,9.887,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.834,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A0,E,1995A&AS..110..367N,,,,,,,,,,2,
HD 276639,951.74,Star,4,38,43.9859,69.68327458,40,53,42.045,40.8950125,14,14,0.072,0.0537,90,A,O,2018yCat.1345....0G,69.68327459,40.89501266,-4.793,-1.293,3,3,0.162,0.074,90,A,2018yCat.1345....0G,B,10.69,0.06,Vega,2000A&A...355L..27H,,,D,B,V,10.29,0.06,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.65,0.018,Vega,2003yCat.2246....0C,,,C,J,H,9.56,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.511,0.02,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A0,E,1995A&AS..110..367N,,,,,,,,,,2,
NVSS J044003+410609,971.83,Radio,4,40,3.5,70.01458333,41,6,9.7,41.10269444,6,6,600,600,90,D,,1998AJ....115.1693C,70.01458,41.10269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203173324858930944,990.71,PM*,4,38,56.7265,69.73636042,40,53,21.297,40.88924917,14,14,0.2786,0.2011,90,A,O,2018yCat.1345....0G,69.7363606,40.8892493,52.136,-6.085,3,3,0.7,0.303,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASS J04371271+4106149,998.81,RGB*,4,37,12.7102,69.30295917,41,6,15.038,41.10417722,14,14,0.0462,0.0375,90,A,O,2018yCat.1345....0G,69.3029593,41.10417744,-1.838,3.105,3,3,0.105,0.058,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,9.353,0.021,Vega,2003yCat.2246....0C,,,C,J,H,8.79,0.017,Vega,2003yCat.2246....0C,,,C,H,K,8.563,0.016,Vega,2003yCat.2246....0C,,,C,K,v,-30.57,0.36,A,O,2018yCat.1345....0G,,,,,,,,,,,,,2,
HD 276701,1008.8,Star,4,40,5.0301,70.02095875,41,14,20.562,41.239045,14,14,0.0699,0.0526,90,A,O,2018yCat.1345....0G,70.02095896,41.23904522,-9.93,-32.632,3,3,0.148,0.086,90,A,2018yCat.1345....0G,B,10.71,0.07,Vega,2000A&A...355L..27H,,,D,B,V,10.14,0.06,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.014,0.021,Vega,2003yCat.2246....0C,,,C,J,H,8.734,0.017,Vega,2003yCat.2246....0C,,,C,H,K,8.669,0.015,Vega,2003yCat.2246....0C,,,C,K,,,,,,,G0,E,1995A&AS..110..367N,,,,,,,,,,2,
TYC 2884-318-1,1014.74,Star,4,38,15.4681,69.56445042,40,53,14.338,40.88731611,14,14,0.0362,0.0296,90,A,O,2018yCat.1345....0G,69.56445065,40.88731612,2.703,-4.136,3,3,0.08,0.048,90,A,2018yCat.1345....0G,B,12.21,0.25,Vega,2000A&A...355L..27H,,,D,B,V,11.56,0.18,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.672,0.018,Vega,2003yCat.2246....0C,,,C,J,H,9.083,0.015,Vega,2003yCat.2246....0C,,,C,H,K,8.921,0.015,Vega,2003yCat.2246....0C,,,C,K,v,-22,0.37,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
Gaia DR2 203183460982610432,1026.77,Candidate_RRLyr,4,40,10.2859,70.04285792,41,9,47.025,41.1630625,14,14,0.0824,0.0618,90,A,O,2018yCat.1345....0G,70.04285831,41.16306258,0.869,-1.365,3,3,0.161,0.097,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203833409791964032,1042.16,PM*,4,37,37.5643,69.40651792,40,56,39.526,40.94431278,14,14,0.1284,0.105,90,A,O,2018yCat.1345....0G,69.40651824,40.94431281,-86.499,-106.916,3,3,0.311,0.167,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276622,1060.51,Star,4,37,15.3903,69.31412625,41,17,28.743,41.2913175,14,14,0.0991,0.0795,90,A,O,2018yCat.1345....0G,69.31412661,41.29131752,18.899,-16.036,3,3,0.173,0.124,90,A,2018yCat.1345....0G,B,11.52,0.14,Vega,2000A&A...355L..27H,,,D,B,V,10.88,0.12,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.609,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.362,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.279,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,G0,E,1995A&AS..110..367N,,,,,,,,,,2,
TYC 2888-1782-1,1080.88,Star,4,39,36.5524,69.90230167,41,24,0.023,41.40000639,14,14,0.0526,0.0371,90,A,O,2018yCat.1345....0G,69.90230192,41.4000066,5.972,-7.799,3,3,0.102,0.056,90,A,2018yCat.1345....0G,B,12.12,0.35,Vega,2000A&A...355L..27H,,,D,B,V,10.97,0.14,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,7.874,0.019,Vega,2003yCat.2246....0C,,,C,J,H,7.095,0.02,Vega,2003yCat.2246....0C,,,C,H,K,6.86,0.02,Vega,2003yCat.2246....0C,,,C,K,v,21.99,0.31,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
